ticker,peak_day,days_2x,vol_max,cum_return,d1_entry,d2_entry,exit_price,d1_pnl_pct,d2_pnl_pct,improvement_pct
MORA.JK,22,8.2,12.0,6.06,100,110,651.6379999999999,5.516379999999999,4.923981818181818,0.5923981818181812
UANG.JK,10,1.0,17.0,0.7,100,110,170.0,0.7,0.5454545454545454,0.15454545454545454
DEWA.JK,23,10.0,6.5,1.2,100,110,201.74000000000004,1.0174000000000003,0.8340000000000003,0.1834
ABCD.JK,23,12.0,8.5,2.8,100,110,348.46,2.4846,2.1678181818181814,0.3167818181818185
EFGH.JK,13,6.0,10.2,1.5,100,110,250.0,1.5,1.2727272727272727,0.2272727272727273
IJKL.JK,11,2.5,15.0,0.95,100,110,195.0,0.95,0.7727272727272727,0.17727272727272725
MNOP.JK,24,15.0,5.8,4.2,100,110,476.84000000000003,3.7684,3.334909090909091,0.43349090909090915
QRST.JK,13,7.5,9.3,1.85,100,110,285.0,1.85,1.5909090909090908,0.25909090909090926
ABC.BK,22,9.0,7.2,2.1,100,110,286.13,1.8613,1.601181818181818,0.2601181818181819
DEF.BK,11,3.5,12.5,1.05,100,110,205.0,1.05,0.8636363636363636,0.1863636363636364
GHI.BK,23,11.5,6.8,3.5,100,110,412.65,3.1264999999999996,2.751363636363636,0.3751363636363636
JKL.BK,12,5.0,8.9,1.35,100,110,235.0,1.35,1.1363636363636365,0.21363636363636362
FAST1.JK,10,1.5,14.0,0.55,100,110,155.0,0.55,0.4090909090909091,0.14090909090909093
FAST2.BK,11,2.0,11.8,0.68,100,110,168.00000000000003,0.6800000000000003,0.5272727272727276,0.1527272727272727
FAST3.JK,11,3.0,13.2,0.85,100,110,185.0,0.85,0.6818181818181818,0.1681818181818182
