ticker,bloomberg_ticker,market,exchange_code,eod_code,pump_ease
LPKR,LPKR IJ Equity,Indonesia,JK,LPKR.JK,VERY_HIGH
BBKP,BBKP IJ Equity,Indonesia,JK,BBKP.JK,VERY_HIGH
SGRO,SGRO IJ Equity,Indonesia,JK,SGRO.JK,VERY_HIGH
KPIG,KPIG IJ Equity,Indonesia,JK,KPIG.JK,VERY_HIGH
BKSL,BKSL IJ Equity,Indonesia,JK,BKSL.JK,VERY_HIGH
TMAS,TMAS IJ Equity,Indonesia,JK,TMAS.JK,VERY_HIGH
BUKA,BUKA IJ Equity,Indonesia,JK,BUKA.JK,VERY_HIGH
KRAS,KRAS IJ Equity,Indonesia,JK,KRAS.JK,VERY_HIGH
DMAS,DMAS IJ Equity,Indonesia,JK,DMAS.JK,VERY_HIGH
PBSA,PBSA IJ Equity,Indonesia,JK,PBSA.JK,VERY_HIGH
BIPI,BIPI IJ Equity,Indonesia,JK,BIPI.JK,VERY_HIGH
MAYA,MAYA IJ Equity,Indonesia,JK,MAYA.JK,VERY_HIGH
PNLF,PNLF IJ Equity,Indonesia,JK,PNLF.JK,VERY_HIGH
BANK,BANK IJ Equity,Indonesia,JK,BANK.JK,VERY_HIGH
DATA,DATA IJ Equity,Indonesia,JK,DATA.JK,VERY_HIGH
MIDI,MIDI IJ Equity,Indonesia,JK,MIDI.JK,VERY_HIGH
SMDR,SMDR IJ Equity,Indonesia,JK,SMDR.JK,VERY_HIGH
DAAZ,DAAZ IJ Equity,Indonesia,JK,DAAZ.JK,VERY_HIGH
PWON,PWON IJ Equity,Indonesia,JK,PWON.JK,VERY_HIGH
MSIN,MSIN IJ Equity,Indonesia,JK,MSIN.JK,VERY_HIGH
SIDO,SIDO IJ Equity,Indonesia,JK,SIDO.JK,VERY_HIGH
ACES,ACES IJ Equity,Indonesia,JK,ACES.JK,VERY_HIGH
ELPI,ELPI IJ Equity,Indonesia,JK,ELPI.JK,VERY_HIGH
SMRA,SMRA IJ Equity,Indonesia,JK,SMRA.JK,VERY_HIGH
NICL,NICL IJ Equity,Indonesia,JK,NICL.JK,VERY_HIGH
CYBR,CYBR IJ Equity,Indonesia,JK,CYBR.JK,VERY_HIGH
TOBA,TOBA IJ Equity,Indonesia,JK,TOBA.JK,VERY_HIGH
INET,INET IJ Equity,Indonesia,JK,INET.JK,VERY_HIGH
CLEO,CLEO IJ Equity,Indonesia,JK,CLEO.JK,VERY_HIGH
UDNG,UDNG IJ Equity,Indonesia,JK,UDNG.JK,VERY_HIGH
SIMP,SIMP IJ Equity,Indonesia,JK,SIMP.JK,VERY_HIGH
BJTM,BJTM IJ Equity,Indonesia,JK,BJTM.JK,VERY_HIGH
AVIA,AVIA IJ Equity,Indonesia,JK,AVIA.JK,VERY_HIGH
RMKE,RMKE IJ Equity,Indonesia,JK,RMKE.JK,VERY_HIGH
CMNT,CMNT IJ Equity,Indonesia,JK,CMNT.JK,VERY_HIGH
MTDL,MTDL IJ Equity,Indonesia,JK,MTDL.JK,VERY_HIGH
BULL,BULL IJ Equity,Indonesia,JK,BULL.JK,VERY_HIGH
UANG,UANG IJ Equity,Indonesia,JK,UANG.JK,VERY_HIGH
APIC,APIC IJ Equity,Indonesia,JK,APIC.JK,VERY_HIGH
TOWR,TOWR IJ Equity,Indonesia,JK,TOWR.JK,VERY_HIGH
CARE,CARE IJ Equity,Indonesia,JK,CARE.JK,VERY_HIGH
SGER,SGER IJ Equity,Indonesia,JK,SGER.JK,VERY_HIGH
DEWA,DEWA IJ Equity,Indonesia,JK,DEWA.JK,VERY_HIGH
MTEL,MTEL IJ Equity,Indonesia,JK,MTEL.JK,VERY_HIGH
BJBR,BJBR IJ Equity,Indonesia,JK,BJBR.JK,VERY_HIGH
ERAA,ERAA IJ Equity,Indonesia,JK,ERAA.JK,VERY_HIGH
COIN,COIN IJ Equity,Indonesia,JK,COIN.JK,VERY_HIGH
EMTK,EMTK IJ Equity,Indonesia,JK,EMTK.JK,VERY_HIGH
POWR,POWR IJ Equity,Indonesia,JK,POWR.JK,VERY_HIGH
ALII,ALII IJ Equity,Indonesia,JK,ALII.JK,VERY_HIGH
MBMA,MBMA IJ Equity,Indonesia,JK,MBMA.JK,VERY_HIGH
BSDE,BSDE IJ Equity,Indonesia,JK,BSDE.JK,VERY_HIGH
CTRA,CTRA IJ Equity,Indonesia,JK,CTRA.JK,VERY_HIGH
HRUM,HRUM IJ Equity,Indonesia,JK,HRUM.JK,VERY_HIGH
RAJA,RAJA IJ Equity,Indonesia,JK,RAJA.JK,VERY_HIGH
HEAL,HEAL IJ Equity,Indonesia,JK,HEAL.JK,VERY_HIGH
BTPS,BTPS IJ Equity,Indonesia,JK,BTPS.JK,VERY_HIGH
MAPA,MAPA IJ Equity,Indonesia,JK,MAPA.JK,VERY_HIGH
ABMM,ABMM IJ Equity,Indonesia,JK,ABMM.JK,VERY_HIGH
ESSA,ESSA IJ Equity,Indonesia,JK,ESSA.JK,VERY_HIGH
PNBN,PNBN IJ Equity,Indonesia,JK,PNBN.JK,VERY_HIGH
BUVA,BUVA IJ Equity,Indonesia,JK,BUVA.JK,VERY_HIGH
SSMS,SSMS IJ Equity,Indonesia,JK,SSMS.JK,VERY_HIGH
FILM,FILM IJ Equity,Indonesia,JK,FILM.JK,VERY_HIGH
